ts,tagID,fix,bearing,longitude,latitude,plotlocation
2/19/17 9:33,357,2,NA,-77.94149,18.04268,NA
2/19/17 9:38,356,3,NA,-77.9403,18.04277,NA
2/19/17 10:12,356,4,NA,-77.94032,18.04277,NA
2/21/17 6:39,357,1,NA,-77.94113,18.043,NA
2/21/17 6:46,356,1,NA,-77.94059,18.04288,NA
2/21/17 6:59,38,1,NA,-77.93951,18.04194,NA
2/21/17 7:25,41,1,NA,-77.94147446,18.04174359,LII H.5 7
2/21/17 7:34,372,2,NA,-77.94083,18.04127,NA
2/21/17 7:35,52,2,NA,-77.94099,18.04121,NA
2/21/17 7:53,357,2,NA,-77.94135,18.0429,NA
2/21/17 8:18,356,3,NA,-77.94034,18.04283,NA
2/21/17 8:52,372,3,NA,NA,NA,MII E 7.75
2/21/17 8:55,52,3,NA,NA,NA,MII F 6.8
2/21/17 10:07,367,1,NA,-77.94073,18.044,NA
2/21/17 10:32,372,4,NA,-77.9409612,18.04039877,MII E.5 8
2/21/17 11:30,41,4,NA,-77.94147446,18.04174359,LII H.5 7
2/21/17 11:55,67,2,NA,NA,NA,LII D 7.3
2/22/17 8:31,354,1,NA,-77.93997,18.04009,NA
2/22/17 16:01,41,2,NA,-77.94179,18.04186,NA
2/23/17 15:13,54,1,NA,-77.94244,18.03952,NA
2/23/17 16:06,63,1,NA,-77.94194,18.03804,NA
2/23/17 17:14,67,1,NA,-77.94115756,18.03946488,MII C.5 7.5
2/23/17 17:23,372,1,NA,-77.94118958,18.04061472,MII F 7.5
2/24/17 6:49,367,1,NA,-77.94158752,18.04302117,LII K.5 7
2/24/17 9:58,372,2,NA,NA,NA,MII E.9 7.7
2/24/17 10:17,67,1,NA,NA,NA,MII C.6 7.2
2/24/17 15:38,356,1,NA,NA,NA,LII K.1 8.5
2/25/17 6:27,367,1,NA,-77.94408,18.03879,NA
2/25/17 7:18,372,1,NA,NA,NA,LII H.3 8.1
2/25/17 9:57,54,3,NA,-77.94205359,18.04323444,LII L 6
2/25/17 11:00,67,1,NA,NA,NA,MII C.5 6.7
2/25/17 11:52,63,1,NA,-77.94131,18.03811,NA
2/25/17 13:50,41,3,NA,NA,NA,LII I 6.7
2/27/17 10:15,372,2,NA,-77.94100076,18.04152546,LII H 8
2/27/17 15:24,357,2,NA,NA,NA,LII J.9 7.1
2/27/17 16:19,63,1,NA,-77.94155,18.03773,NA
2/28/17 6:40,372,1,NA,-77.94100076,18.04152546,LII H 8
2/28/17 6:50,67,2,NA,NA,NA,LII H.9 8.5
2/28/17 10:38,54,3,NA,-77.94265,18.0448,NA
2/28/17 10:55,357,2,NA,-77.94161113,18.04328693,LII L 7
2/28/17 10:57,367,2,NA,NA,NA,LII K.9 6.5
2/28/17 12:28,63,1,NA,-77.94145,18.03801,NA
3/1/17 7:44,38,1,NA,-77.93934,18.04186,NA
3/2/17 8:04,41,1,NA,-77.94186,18.04203,NA
3/2/17 7:27,357,1,138,-77.9418228,18.04327789,LII L 6.5
3/3/17 6:40,367,1,NA,-77.94209,18.04272,NA
3/3/17 6:50,367,2,NA,-77.94193,18.04279,NA
3/3/17 6:54,357,1,NA,-77.94157,18.04289,NA
3/3/17 7:10,355,1,NA,-77.94181,18.04511,NA
3/3/17 7:42,356,1,NA,-77.94105,18.04319,NA
3/3/17 7:44,50,1,NA,-77.94102754,18.04282962,LII K 8
3/3/17 8:16,369,1,NA,-77.9397,18.04321,NA
3/3/17 8:27,40,1,NA,-77.93914,18.04473,NA
3/3/17 8:37,372,1,NA,NA,NA,MII G.8 8.1
3/3/17 8:39,356,2,NA,-77.94109563,18.04327777,LII L 8
3/3/17 8:42,357,2,NA,-77.94109563,18.04327777,LII L 8
3/3/17 8:51,367,3,NA,-77.94204,18.0431,NA
3/3/17 9:05,355,2,NA,-77.94187646,18.04537927,LIIR F 9
3/3/17 10:19,369,2,NA,-77.94057,18.04339,NA
3/4/17 6:50,41,1,NA,-77.94205,18.042,NA
3/4/17 6:57,367,1,NA,-77.94196,18.04312,NA
3/4/17 7:07,367,2,NA,-77.94189,18.04324,NA
3/4/17 7:12,357,2,NA,-77.94154,18.04301,NA
3/4/17 7:27,355,1,NA,-77.94191,18.04501,NA
3/4/17 7:38,367,3,NA,-77.94164,18.04317,NA
3/4/17 7:42,357,3,NA,-77.94151,18.04326,NA
3/4/17 7:48,357,4,NA,-77.94142,18.04321,NA
3/4/17 7:49,356,1,NA,-77.94093,18.04322,NA
3/4/17 8:00,369,1,NA,-77.94035,18.04337,NA
3/4/17 8:41,40,1,NA,-77.93879,18.04432,NA
3/4/17 8:48,355,2,NA,-77.94157,18.0453,NA
3/4/17 9:18,356,3,NA,NA,NA,LII L.1 9.1
3/5/17 8:48,67,1,NA,-77.94076,18.04368,NA
3/5/17 9:41,372,2,NA,NA,NA,MII E.4 7.5
3/5/17 10:08,41,2,NA,-77.94171,18.04202,NA
3/7/17 6:42,38,1,NA,NA,NA,LII J.9 9.9
3/7/17 6:51,369,1,NA,-77.93966049,18.04290398,LII K 11
3/7/17 7:02,50,2,NA,-77.939,18.04248,NA
3/7/17 10:24,372,1,NA,-77.94184,18.04199,NA
3/7/17 17:05,372,2,NA,-77.94093,18.04131,NA
3/8/17 11:57,40,1,NA,-77.93925,18.04462,NA
3/9/17 7:20,357,1,NA,-77.94125,18.04316,NA
3/9/17 11:34,40,1,NA,-77.93895,18.04467,NA
3/10/17 7:41,63,1,312,-77.94122,18.04903,NA
3/10/17 16:20,54,2,NA,-77.94253,18.04475,NA
3/11/17 9:41,67,1,NA,-77.94054,18.04371,NA
3/11/17 10:41,355,1,NA,-77.94184,18.04501,NA
3/11/17 11:41,67,2,NA,-77.94038,18.04382,NA
3/12/17 8:32,355,1,NA,-77.94186,18.04539,NA
3/12/17 9:09,67,1,NA,-77.94049,18.04376,NA
3/12/17 11:06,40,2,NA,-77.93939,18.04476,NA
3/12/17 12:31,355,3,NA,-77.94199,18.04544,NA
3/13/17 7:06,50,1,NA,-77.93961758,18.04210844,LII I 11
3/13/17 7:20,67,1,NA,-77.94042,18.04143,NA
3/15/17 7:02,40,1,NA,-77.9393,18.04451,NA
3/15/17 10:28,50,3,NA,-77.94048,18.0439,NA
3/15/17 10:40,67,2,NA,-77.94074,18.04414,NA
3/16/17 6:40,40,1,NA,-77.93938,18.04434,NA
3/16/17 7:33,67,1,NA,-77.94096103,18.04175593,LII H.5 8
3/17/17 8:12,50,1,NA,-77.94167,18.04148,NA
3/17/17 10:31,355,2,NA,-77.94169,18.04542,NA
3/18/17 7:30,40,1,NA,-77.93903,18.04474,NA
3/18/17 7:42,67,1,NA,NA,NA,LII I.3 9
3/18/17 10:38,50,1,NA,-77.94061,18.04387,NA
3/18/17 10:38,67,2,NA,-77.94061,18.04387,NA
3/19/17 6:59,514,1,NA,-77.9415317,18.0423748,LII J 7
3/21/17 11:26,40,1,NA,-77.93916,18.04489,NA
3/21/17 12:10,38,1,NA,-77.94016,18.04654,NA
3/22/17 8:39,40,1,NA,-77.93925,18.04464,NA
3/22/17 12:15,67,1,NA,-77.94061,18.043556,NA
3/26/17 10:32,50,1,NA,NA,NA,LII H 6.4
3/26/17 10:54,518,1,NA,-77.94189,18.04303,NA
3/26/17 11:18,40,1,NA,-77.93938,18.04478,NA
3/26/17 11:38,67,1,NA,-77.94062,18.04386,NA
3/26/17 12:51,518,3,NA,-77.94166,18.04302,NA
3/27/17 6:20,50,1,NA,-77.9419,18.04147,NA
3/27/17 6:25,67,1,NA,-77.9419,18.04147,NA
3/27/17 12:19,50,2,NA,-77.94073,18.04369,NA
3/27/17 12:45,67,2,NA,-77.94062,18.04396,NA
3/28/17 6:24,518,1,NA,-77.94147737,18.0419097,LII I 7
3/29/17 6:36,514,1,NA,-77.94147737,18.0419097,LII I 7
4/15/17 6:58,378,1,NA,-77.94288,18.04342,NA
4/15/17 7:43,352,1,82,-77.94031225,18.04154718,LII H 9.5
4/15/17 10:11,378,1,NA,-77.9425,18.04351,NA
4/16/17 8:52,360,2,NA,-77.94164,18.04351,NA
4/16/17 11:16,378,3,20,-77.9418228,18.04327789,LII L 6.5
4/18/17 9:15,371,2,NA,-77.93514,18.04374,NA
4/19/17 9:05,352,2,NA,-77.94415,18.0391,NA
4/19/17 10:40,371,1,NA,-77.93514,18.04374,NA
4/19/17 13:04,352,3,NA,-77.94398,18.03933,NA
4/20/17 7:08,370,1,NA,NA,NA,LII L 7.8
4/20/17 7:26,378,2,NA,-77.9418228,18.04327789,LII L 6.5
4/20/17 8:26,371,1,NA,-77.9352,18.04395,NA
4/20/17 11:06,378,2,NA,NA,NA,LII L 6.3
4/20/17 11:18,352,2,NA,-77.94405,18.0389,NA
4/22/17 6:43,37,1,NA,-77.94097192,18.04107265,MII G 8
4/22/17 8:30,352,1,NA,-77.94406,18.03891,NA
4/22/17 9:23,378,2,NA,-77.94235,18.04337,NA
4/22/17 10:55,370,3,305,-77.94101937,18.04220123,LII I.5 8
4/23/17 9:32,371,1,NA,-77.93495,18.04403,NA
4/23/17 12:37,371,2,258,-77.93518,18.04395,NA
4/29/17 7:52,371,1,NA,-77.93487,18.04418,NA
4/29/17 11:12,371,2,NA,-77.93302,18.0453,NA
4/30/17 6:58,371,1,NA,-77.93516,18.04409,NA
4/30/17 7:50,294,1,NA,-77.94035,18.04061,NA
5/2/16 6:40,303,1,NA,-77.94205359,18.04323444,LII L 6
