plotlocation,x,y,longitude,latitude
MI G 2.5,188972.5144,1996966.124,-77.93762755,18.03895622
MI G 3,188998.6982,1996974.352,-77.93738172,18.03903424
MI G 3.5,189021.0893,1996982.738,-77.9371717,18.03911315
MI G 4,189045.2506,1996995.424,-77.93694562,18.03923113
MI G.5 4,189045.646,1997020.027,-77.93694557,18.03945327
MI G.5 3.5,189014.7644,1997011.491,-77.93723569,18.03937179
MI G.5 3,188990.2752,1996998.269,-77.93746478,18.03924893
MI G.5 2.5,188965.35,1996991.141,-77.9376989,18.03918101
MI H 2,188936.7709,1997002.935,-77.93797034,18.03928337
MI H 2.5,188959.1642,1997011.45,-77.93776031,18.03936345
MI H 3,188979.6908,1997023.887,-77.93756849,18.03947865
MI H 3.5,189002.0113,1997032.448,-77.93735917,18.03955913
MI H 4,189025.9749,1997042.94,-77.93713462,18.03965728
MI H.5 4,189018.1744,1997064.898,-77.93721152,18.03985436
MI I 4,189007.2385,1997093.455,-77.93731899,18.04011057
MI H.5 3,188974.6705,1997045.889,-77.93761916,18.03967654
MI I 2.5,188939.0354,1997058.797,-77.93795735,18.03978795
MI I 2,188923.336,1997045.46,-77.93810348,18.0396653
MI H.5 2,188931.4999,1997022.236,-77.93802297,18.03945684
MII G 5,188468.4974,1997189.527,-77.94241689,18.04090044
MII F.5 5,188469.7664,1997169.609,-77.94240193,18.04072083
MII F 5,188471.7424,1997148.257,-77.94238008,18.04052837
MII E.5 5,188473.0006,1997118.763,-77.94236377,18.04026232
MII E 5,188474.3067,1997096.91,-77.94234817,18.04006525
MII D.5 5,188478.9725,1997077.169,-77.94230118,18.03988773
MII D 5,188479.288,1997043.542,-77.94229315,18.03958423
MII C.5 5,188481.2044,1997019.482,-77.94227145,18.03936733
MII C 5,188476.1117,1996999.12,-77.94231645,18.0391828
MII G 5.5,188491.9769,1997189.488,-77.94219534,18.04090346
MII F.5 5.5,188492.7429,1997169.149,-77.94218506,18.04071997
MII F 5.5,188495.1594,1997149.136,-77.94215925,18.04053967
MII E.5 5.5,188496.8741,1997122.574,-77.94213908,18.04030015
MII E 5.5,188496.8284,1997097.642,-77.94213577,18.04007509
MII D.5 5.5,188498.2911,1997073.446,-77.94211833,18.0398569
MII D 5.5,188503.0266,1997050.235,-77.94207016,18.03964806
MII C.5 5.5,188500.6699,1997022.518,-77.94208824,18.03939753
MII C 5.5,188500.5139,1997001.736,-77.94208659,18.03920992
MII C 6,188524.066,1997000.45,-77.94186416,18.0392017
MII C.5 6,188528.5047,1997023.562,-77.94182575,18.03941095
MII D 6,188528.6293,1997053.148,-77.94182902,18.03967803
MII E 6,188526.4392,1997098.032,-77.94185642,18.04008287
MII E.5 6,188525.5903,1997123.279,-77.94186822,18.04031064
MII F 6,188522.1691,1997149.957,-77.94190451,18.04055096
MII F.5 6,188517.4954,1997172.466,-77.94195199,18.04075348
MII G 6,188519.1872,1997192.862,-77.94193909,18.04093782
MII G 7,188573.0474,1997199.272,-77.94143184,18.04100342
MII G 7.5,188598.9055,1997202.148,-77.94118828,18.0410331
MII G 8,188621.8983,1997206.164,-77.94097192,18.04107265
MII F 6.5,188547.2063,1997152.172,-77.9416686,18.04057456
MII E 6.5,188546.9394,1997099.718,-77.94166324,18.04010103
MII D 6.5,188551.053,1997049.649,-77.94161691,18.03964967
MII C.5 6.5,188555.3539,1997023.442,-77.94157239,18.03941372
MII C 6.5,188549.647,1997002.672,-77.94162312,18.03922542
MII C 7,188577.7221,1997006.364,-77.94135876,18.03926279
MII C.5 7,188574.4269,1997035.692,-77.94139426,18.03952704
MII D 7,188574.5034,1997052.041,-77.94139599,18.03967463
MII D.5 7,188566.9238,1997076.382,-77.94147117,18.03989326
MII E 7,188572.384,1997106.697,-77.9414242,18.04016768
MII F 7,188574.546,1997148.346,-77.94141005,18.04054395
MII F 7.5,188598.0303,1997155.813,-77.94118958,18.04061472
MII E 7.5,188602.9897,1997102.78,-77.94113482,18.04013672
MII D.5 7.5,188595.5906,1997080.488,-77.94120129,18.03993444
MII D 7.5,188599.0136,1997053.431,-77.94116493,18.03969069
MII C.5 7.5,188599.3962,1997028.408,-77.94115756,18.03946488
MII C 7.5,188601.8992,1997006.67,-77.94113068,18.03926902
MII C 8,188626.0647,1997006.556,-77.94090264,18.03927146
MII C.5 8,188625.86,1997029.671,-77.94090804,18.03948008
MII D 8,188623.0324,1997053.287,-77.94093827,18.03969284
MII D.5 8,188620.2215,1997078.948,-77.94096865,18.03992408
MII E 8,188624.9557,1997108.055,-77.94092834,18.0401875
MII F 8,188623.9584,1997159.336,-77.94094545,18.04065024
